,question_id
0,12821
1,15062
2,13228
3,15049
4,12752
5,12783
6,13074
7,15032
8,12929
9,190
10,13224
11,13277
12,716
13,12776
14,13207
15,12729
16,13286
17,910
18,13217
19,13274
20,15057
21,12790
22,12098
23,1049
24,1122
25,2371
26,13239
27,13509
28,375
29,12930
30,2343
31,15865
32,714
33,12793
34,13201
35,12711
36,754
37,13211
38,13230
39,27
40,15071
41,242
42,15014
43,1110
44,13278
45,226
46,2348
47,2202
48,12734
49,445
50,637
51,12179
52,5594
53,1634
54,13234
55,15030
56,1140
57,243
58,456
59,2291
60,45
61,5504
62,3859
63,15029
64,13231
65,1119
66,766
67,2214
68,12171
69,397
70,807
71,13275
72,3855
73,11542
74,13
75,2321
76,713
77,13273
78,998
79,369
80,1014
81,697
82,707
83,53
84,12151
85,12148
86,5562
87,15064
88,864
89,1613
90,182
91,26
92,705
93,141
94,1637
95,1104
96,2335
97,37
98,251
99,54
100,4497
101,21
102,15031
103,12159
104,15013
105,581
106,5480
107,367
108,5494
109,12663
110,13210
111,1149
112,13287
113,1006
114,13532
115,12801
116,663
117,994
118,461
119,563
120,4994
121,1611
122,5548
123,28
124,1079
125,169
126,1089
127,13281
128,2270
129,1600
130,5477
131,165
132,656
133,13536
134,441
135,658
136,13208
137,1606
138,688
139,176
140,664
141,15010
142,4541
143,555
144,135
145,12157
146,345
147,1609
148,1052
149,13535
150,383
151,15142
152,5490
153,1087
154,13214
155,608
156,639
157,1042
158,388
159,515
160,654
161,371
162,186
163,1607
164,1060
165,635
166,1085
167,12799
168,57
169,12212
170,396
171,606
172,661
173,59
174,452
175,12166
176,191
177,246
178,360
179,655
180,12146
181,192
182,315
183,335
184,627
185,649
186,1604
187,1151
188,1124
189,712
190,604
191,13280
192,58
193,3828
194,1592
195,544
196,1628
197,694
198,1605
199,700
200,671
201,618
202,12672
203,12149
204,1001
205,1601
206,12144
207,645
208,4539
209,12168
210,5515
